Company Name,Required Skills,More Info
east india securities ltd.,"python, hadoop, machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, git, django, GITHub",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-RxlCUMDjB7dzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"Python, Django, Flask, GITHub",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-EAm60cv2FrxzpSvf__PLUS__uAgZw==&source=srp
DREAMAJAX TECHNOLOGIES,"python, django, api, sql, nosql",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,"python, css, django, html, bootstrap",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-efOg3e9X__SLASH__D9zpSvf__PLUS__uAgZw==&source=srp
xonier technologies pvt ltd,"python, django, testingtools, debugging, storage",https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
InnOvator Web Solutions Pvt.Ltd.,"rest, python, django, webdeveloper, mysql, api",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
pearl global solutions,"python, database, django, teamplayer, sql",https://www.timesjobs.com/job-detail/python-developer-pearl-global-solutions-cochin-kochi-ernakulam-4-to-7-yrs-jobid-dZD__SLASH__NDlCjpVzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,"python, django, itskills, html5, api, jquery",https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
Sourcedesk Global Private Limited,"html5, storage, python, javascript, django, infrastructure",https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, cloudservices, postgresql, mysql, machinelearning",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-5-to-8-yrs-jobid-mpGA2O7bJEVzpSvf__PLUS__uAgZw==&source=srp
TECHNOPARK TRIVANDRUM,"rest, python, git, restapi, mysql, sql",https://www.timesjobs.com/job-detail/python-developers-technopark-trivandrum-thiruvananthapuram-5-to-8-yrs-jobid-az38K6zAGapzpSvf__PLUS__uAgZw==&source=srp
TECHNOPARK TRIVANDRUM,"python, django, git, debugging, problemsolving, sql",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-1-to-4-yrs-jobid-z7__PLUS____PLUS__vNQQQMBzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"rest, python, github, nosql, sql, django, api, mongodb, soap",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-4-to-7-yrs-jobid-FzNV5NCjoplzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, css, django, html, machinelearning, artificialintelligence, javascript",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-bengaluru-bangalore-3-to-4-yrs-jobid-BCBK2ZqG1ThzpSvf__PLUS__uAgZw==&source=srp
innefu labs pvt. ltd.,"python, database, django, neo4j, mining, webcrawling",https://www.timesjobs.com/job-detail/python-developer-innefu-labs-pvt-ltd-delhi-delhi-ncr-4-to-5-yrs-jobid-FxKbGzMsPBFzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"algorithms, python, django, databaseprogramming, oops, webtechnologies, debugging, mysql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-4-to-6-yrs-jobid-EL__SLASH__irlDYNexzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"python, django, git, html5, debugging, svn, javascript",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-surat-1-to-4-yrs-jobid-pfoK8e7452VzpSvf__PLUS__uAgZw==&source=srp
Doodleblue Innovations Pvt Ltd,"python, database, django, git, html5, debugging, javascript, jquery",https://www.timesjobs.com/job-detail/python-developer-doodleblue-innovations-pvt-ltd-chennai-0-to-3-yrs-jobid-ZDWKX8wOZMlzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,"python, css, userinteraction, bootstrap, openerp, database, xml, oops, html",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-UqL7KgAUov1zpSvf__PLUS__uAgZw==&source=srp
pegasus knowledge solutions india pvt ltd.,"python, css, django, java, html, bootstrap, api, jquery, sql",https://www.timesjobs.com/job-detail/python-developer-pegasus-knowledge-solutions-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-XiCKMhU2A29zpSvf__PLUS__uAgZw==&source=srp
NuageBiz.Tech,"python, mobile, teamplayer, svn, security, git, softwareengineering",https://www.timesjobs.com/job-detail/python-developer-nuagebiz-tech-noida-greater-noida-2-to-5-yrs-jobid-FzYRc8JWI0hzpSvf__PLUS__uAgZw==&source=srp
Techasoft Pvt Ltd,"python, javascript, docker, django, postgresql, oops, mysql, mongodb, opencv",https://www.timesjobs.com/job-detail/python-developer-techasoft-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-Zn8__SLASH__9rCyRjNzpSvf__PLUS__uAgZw==&source=srp
gammastack indore,"python, database, django, restapi, oops, machinelearning, artificialintelligence",https://www.timesjobs.com/job-detail/python-developer-gammastack-indore-indore-0-to-3-yrs-jobid-k5C0GmkyZ8JzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,"python, django, html5, teamplayer, angularjs, javascript",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-1-to-4-yrs-jobid-jBHxIZqZMQxzpSvf__PLUS__uAgZw==&source=srp
Fluper Limited,"c#, python, virtualreality, mobile, augmentedreality, opencv",https://www.timesjobs.com/job-detail/python-developer-fluper-limited-noida-greater-noida-2-to-7-yrs-jobid-ETCeznAalQBzpSvf__PLUS__uAgZw==&source=srp
Wing Global IT Services,"springboot, python, java, django, jpa, hibernate",https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-__PLUS__fePw2G3HHZzpSvf__PLUS__uAgZw==&source=srp
Cybage Software Pvt Ltd,"python, html5, javascript, nosql, docker, django, softwaredeveloper, mongodb",https://www.timesjobs.com/job-detail/python-developer-cybage-software-pvt-ltd-gandhinagar-hyderabad-secunderabad-pune-4-to-7-yrs-jobid-GN9SDLPIUuJzpSvf__PLUS__uAgZw==&source=srp
